pair,mode,ans,wall_ms,arr_ms,fre_ms,builds,m,K,queries
2599_8892,mask-only,0.055378501030101057179,104.51,0.8826,0.1087,79,7096,7096,3446
6700_7883,on,0.17366249150237195176,214.57,12.8130,53.5650,562,54371,19406,17897
6700_7883,off,0.17366249150237195176,229.63,2.2599,81.1440,564,56672,56672,50298
6700_7883,mask-only,0.17366249150237195176,236.99,10.1830,82.0010,564,56672,56672,50298
9054_15829,on,0.02388999029156020637,566.56,9.7717,67.6100,449,43048,12932,12097
9054_15829,off,0.02388999029156020637,614.22,1.9213,121.5700,449,43048,43048,40551
9054_15829,mask-only,0.02388999029156020637,627.78,7.6272,123.0800,449,43048,43048,40551
9322_2012,on,0.037227410885901160431,24.80,0.4649,0.2355,25,2335,608,357
9322_2012,off,0.037227410885901160431,27.96,0.1136,0.3130,25,2335,2335,1461
9322_2012,mask-only,0.037227410885901160431,27.33,0.3442,0.3180,25,2335,2335,1461
13859_12886,on,0.034479560048055586663,940.42,11.5770,82.1330,521,47865,19764,18647
13859_12886,off,0.034479560048055586663,952.08,2.5418,109.4000,517,47520,47520,44575
13859_12886,mask-only,0.034479560048055586663,947.90,8.8875,108.2100,517,47520,47520,44575
4684_9017,on,0.0031055691630524654909,35.73,0.4309,1.1772,23,1819,509,279
4684_9017,off,0.0031055691630524654909,38.54,0.1346,2.3490,23,1819,1819,1106
4684_9017,mask-only,0.0031055691630524654909,36.44,0.3350,2.3468,23,1819,1819,1106
3394_14356,on,0.035215794234174938038,263.21,9.7672,16.4850,417,43303,13453,11171
3394_14356,off,0.035215794234174938038,251.37,1.3942,19.3360,321,32119,32119,29994
3394_14356,mask-only,0.035215794234174938038,262.84,5.8905,19.5700,321,32119,32119,29994
8403_14307,on,0.033993439484465051703,169.72,5.9370,8.8072,279,26766,9807,9016
8403_14307,off,0.033993439484465051703,166.09,1.1033,12.7780,279,26766,26766,24597
8403_14307,mask-only,0.033993439484465051703,172.98,4.7625,12.8750,279,26766,26766,24597
11389_701,on,0.086945865320273568733,1164.80,18.1340,61.9350,789,78231,24278,24008
11389_701,off,0.086945865320273568733,1211.87,3.8193,107.0100,789,78231,78231,77373
11389_701,mask-only,0.086945865320273568733,1216.55,14.4000,107.3200,789,78231,78231,77373
3256_1456,on,0.000803989903147301916,26.82,0.4608,1.5306,20,1929,720,477
3256_1456,off,0.000803989903147301916,28.32,0.1295,2.0012,20,1929,1929,1379
3256_1456,mask-only,0.000803989903147301916,27.03,0.3344,1.9104,20,1929,1929,1379
12105_2078,on,0.036263644103223732773,42.43,0.5996,0.0829,25,3240,243,186
12105_2078,off,0.036263644103223732773,42.03,0.1385,0.1235,25,3240,3240,2975
12105_2078,mask-only,0.036263644103223732773,42.25,0.4586,0.1231,25,3240,3240,2975
15100_5991,on,0.05678104794673984046,17.32,0.5179,0.1411,54,2632,1010,613
15100_5991,off,0.05678104794673984046,16.07,0.0983,0.2101,54,2632,2632,1871
15100_5991,mask-only,0.05678104794673984046,16.64,0.3451,0.2118,54,2632,2632,1871
2662_741,on,0.006521689361212526688,32.90,0.5160,0.6716,25,2143,784,518
2662_741,off,0.006521689361212526688,32.67,0.1048,1.0529,25,2143,2143,1458
2662_741,mask-only,0.006521689361212526688,33.27,0.4138,1.1728,25,2143,2143,1458
14635_6870,on,0.010307426923868143187,53.18,0.6069,0.3842,23,2706,635,292
14635_6870,off,0.010307426923868143187,51.22,0.1139,0.4886,23,2706,2706,1367
14635_6870,mask-only,0.010307426923868143187,51.35,0.4690,0.4920,23,2706,2706,1367
4941_3915,on,0.004673571682793821111,60.69,4.4459,8.1037,206,18936,7621,6820
4941_3915,off,0.004673571682793821111,58.06,0.7866,11.5190,206,20061,20061,18199
4941_3915,mask-only,0.004673571682793821111,62.63,3.4244,11.4790,206,20061,20061,18199
8901_10528,on,0.066129009548159020659,982.99,12.4300,228.0100,560,51299,17525,16833
8901_10528,off,0.066129009548159020659,1149.45,2.4909,425.5200,561,52811,52811,49954
8901_10528,mask-only,0.066129009548159020659,1154.80,9.7849,422.2200,561,52811,52811,49954
16847_475,on,0.029537035123901544953,17.11,0.1126,0.0024,4,230,89,89
16847_475,off,0.029537035123901544953,13.47,0.0461,0.0053,4,230,230,230
16847_475,mask-only,0.029537035123901544953,13.77,0.0774,0.0048,4,230,230,230
3235_6444,on,0.015681996805762928732,26.38,0.4572,0.0554,24,2308,561,459
